tag,pattern,response
Greetings,Hi,"I am AbhiCares virtual assistant. How can I help you with your AC or appliance today?"
Greetings,Hello,"I am AbhiCares virtual assistant. How can I help you with your AC or appliance today?"
Greetings,Hey,"I am AbhiCares virtual assistant. How can I help you with your AC or appliance today?"
Greetings,"Good morning","I am AbhiCares virtual assistant. How can I help you with your AC or appliance today?"
Greetings,"Good evening","I am AbhiCares virtual assistant. How can I help you with your AC or appliance today?"
Greetings,"Good afternoon","I am AbhiCares virtual assistant. How can I help you with your AC or appliance today?"
Greetings,Yo,"I am AbhiCares virtual assistant. How can I help you with your AC or appliance today?"
Greetings,"Are you there?","I am AbhiCares virtual assistant. How can I help you with your AC or appliance today?"
Greetings,"Is anyone there?","I am AbhiCares virtual assistant. How can I help you with your AC or appliance today?"
Greetings,"Hi bot","I am AbhiCares virtual assistant. How can I help you with your AC or appliance today?"
Greetings,"Hello support","I am AbhiCares virtual assistant. How can I help you with your AC or appliance today?"
Greetings,Greetings,"I am AbhiCares virtual assistant. How can I help you with your AC or appliance today?"
Greetings,Start,"I am AbhiCares virtual assistant. How can I help you with your AC or appliance today?"
Greetings,"Wake up","I am AbhiCares virtual assistant. How can I help you with your AC or appliance today?"
Greetings,"Help me","I am AbhiCares virtual assistant. How can I help you with your AC or appliance today?"
Greetings,"I need help","I am AbhiCares virtual assistant. How can I help you with your AC or appliance today?"
Greetings,"Can you assist me?","I am AbhiCares virtual assistant. How can I help you with your AC or appliance today?"
Greetings,"Are you a real person?","I am AbhiCares virtual assistant. How can I help you with your AC or appliance today?"
Greetings,"Who are you?","I am AbhiCares virtual assistant. How can I help you with your AC or appliance today?"
Greetings,"What is this?","I am AbhiCares virtual assistant. How can I help you with your AC or appliance today?"
Greetings,"Hi AbhiCares","I am AbhiCares virtual assistant. How can I help you with your AC or appliance today?"
Greetings,Heya,"I am AbhiCares virtual assistant. How can I help you with your AC or appliance today?"
Greetings,"Hi there","I am AbhiCares virtual assistant. How can I help you with your AC or appliance today?"
Greetings,"Hello friend","I am AbhiCares virtual assistant. How can I help you with your AC or appliance today?"
Greetings,"Anyone home?","I am AbhiCares virtual assistant. How can I help you with your AC or appliance today?"
Greetings,"Support please","I am AbhiCares virtual assistant. How can I help you with your AC or appliance today?"
Issue_Cooling,"AC not working","It sounds like a cooling issue. Please switch off the AC immediately to prevent compressor damage and book a repair service."
Issue_Cooling,"AC not cooling","It sounds like a cooling issue. Please switch off the AC immediately to prevent compressor damage and book a repair service."
Issue_Cooling,"Air conditioner is warm","It sounds like a cooling issue. Please switch off the AC immediately to prevent compressor damage and book a repair service."
Issue_Cooling,"Blowing hot air","It sounds like a cooling issue. Please switch off the AC immediately to prevent compressor damage and book a repair service."
Issue_Cooling,"My AC isn't cold enough","It sounds like a cooling issue. Please switch off the AC immediately to prevent compressor damage and book a repair service."
Issue_Cooling,"Room is not getting cold","It sounds like a cooling issue. Please switch off the AC immediately to prevent compressor damage and book a repair service."
Issue_Cooling,"Temperature not dropping","It sounds like a cooling issue. Please switch off the AC immediately to prevent compressor damage and book a repair service."
Issue_Cooling,"AC fan running but no cooling","It sounds like a cooling issue. Please switch off the AC immediately to prevent compressor damage and book a repair service."
Issue_Cooling,"Compressor not starting","It sounds like a cooling issue. Please switch off the AC immediately to prevent compressor damage and book a repair service."
Issue_Cooling,"The air is humid","It sounds like a cooling issue. Please switch off the AC immediately to prevent compressor damage and book a repair service."
Issue_Cooling,"Why is my AC blowing hot air?","It sounds like a cooling issue. Please switch off the AC immediately to prevent compressor damage and book a repair service."
